bankcd,banknm,rivnm,rivdv,banklr,staddr,stchm,stchs,edaddr,edchm,edchs,len,plfwv,plfwl,plrivwith,bankwith,inslp,outslp,sttmx,sttmy,edtmx,edtmy,outstn,instn,gatecnt,pgatecnt,pipecnt,pumtcnt,bodysf,etcsf,mngrdtp,bkrdtp,hgebmttp,hgebmtst,bedtp,bedst,lwebmttp,lwebmtst,waystn,crstp,bedsoil
301101010002,오탄2제,영동천,지방1급,좌,충청북도 영동군 영동읍 오탄리,34,80,충청북도 영동군 영동읍 오탄리,27,130,1350,995,121.92~117.36,50~112,,1:2.0,1:2.0,268797,298545,268216,299658,,"농경지(논)+주거지로 이용, 철도 건널목이 위치하고 있음",,,2,,양호,"신설제방공사중(오정교부근), 고압송유관 매설지역",비포장,,"돌망태, 돌쌓기",보통,"돌망태, 돌쌓기",보통,,,사행부,단단면,모래+자갈
301101010003,당말1제,영동천,지방1급,좌,충청북도 영동군 영동읍 영산리,41,130,충청북도 영동군 영동읍 영산리,34,140,1200,,122.01~125.13,66~110,4,,1:2.0,269454,297743,268798,298521,,"농경지, 주거지로 이용, 체육시설이 위치",,1,10,,양호,천단에 자전거도로 및 보도블럭이 설치되어 있음,"보도블럭, 자전거 도로",,"개비온, 돌붙임",양호,,,,,사행부,단단면,모래+자갈
301101010004,계산좌안제,영동천,지방1급,좌,충청북도 영동군 영동읍 부용리,49,190,충청북도 영동군 영동읍 부용리,41,130,1590,,125.13~132.51,40~109,,1:2.0,1:2.0,269004,296345,269430,297644,"주차장, 체육시설(게이트볼), 유체꽃단지 조성",주거지로 이용(영동읍 구간),,3,3,,양호,"제방겸도로, 시점부 국도 건설중",비포장(종정부 일부),아스팔트,"돌붙임, 석축",보통,,,"돌붙임, 옹벽",보통,사행부,복단면,모래+자갈
301101010005,부용2제,영동천,지방1급,좌,충청북도 영동군 영동읍 부용리,57,0,충청북도 영동군 영동읍 부용리,49,190,1410,375,142.44~132.51,30~56,3,1:2.0,1:2.0,267790,295709,268994,296343,,"농경지(논+과수원) 및 주거지로 이용, 국도 건설중",,4,2,,양호,가스관이 매설됨(제방시점부),비포장,,"돌망태, 개비온, 석축",보통,돌망태,보통,,,직선부,단단면,모래+자갈
301101020000,약목2제,영동천,지방1급,우,충청북도 영동군 심천면 각계리,4,140,충청북도 영동군 심천면 초강리,0,0,940,995,104.20~104.75,103~112,,1:2.0,1:2.0,264640,301354,263901,301846,과수원으로 이용(제방 시점부),"농경지(논+과수원), 주거지로 이용",,1,1,,보통,고압송유관 매설 지역임,"일부구간 아스팔트, 콘크리트",,"돌붙임, 돌망태(일부구간)",보통,"돌붙임, 돌망태(일부구간)",보통,,,직선부,단단면,모래+자갈
301101020001,각계1제,영동천,지방1급,우,충청북도 영동군 심천면 각계리,13,160,충청북도 영동군 심천면 각계리,8,0,1130,995,106.85~110.68,77~130,,1:2.0,1:2.0,266165,300639,265172,301040,,"농경지(논+과수원) 및 주거지로 이용, 경부선이 지나감",,1,2,,보통,,비포장,,돌망태,보통,돌망태,보통,,,직선부,단단면,모래+자갈
301101020002,각계제,영동천,지방1급,우,충청북도 영동군 영동읍 산이리,20,70,충청북도 영동군 심천면 각계리,15,100,1200,995,114.04~111.38,90~105,,1:2.0,1:2.0,266933,300077,266504,300632,,농경지(논+과수원) 및 주거지로 이용,,,,,양호,오정제 수해상습지 공사중,비포장,,돌망태,보통,돌망태,보통,,,사행부,단단면,모래+자갈
301101020003,오탄3제,영동천,지방1급,우,충청북도 영동군 영동읍 계산리,33,100,충청북도 영동군 영동읍 오탄리,27,80,1380,995,117.26~120.60,50~112,,1:2.0,1:2.0,268947,298639,268294,299785,,농경지(논+과수원) 및 주거지로 이용,,1,7,,양호,"신설제방공사중(오정교부근), 일부구간 제방겸 도로",비포장,아스팔트(일부구간),돌망태,양호,돌망태,양호,,,사행부,단단면,모래+자갈
301101020004,당말2제,영동천,지방1급,우,충청북도 영동군 영동읍 영산리,44,50,충청북도 영동군 영동읍 영산리,34,140,1730,,122.01~126.43,66~110,,1:2.0,1:2.0,269458,297921,268872,298442,,농경지(논+과수원) 및 주거지로 이용,,2,4,,양호,,비포장,,"돌붙임, 개비온, 옹벽",양호,,,,,사행부,단단면,모래+자갈
301101020005,계산우안제,영동천,지방1급,우,충청북도 영동군 영동읍 부용리,49,160,충청북도 영동군 영동읍 영산리,44,50,1130,,126.43~132.32,40~97.6,,1:2.0,1:2.0,269055,296282,269458,297921,주차장 시설 설치,주거지로 이용(영동읍 구간),,3,5,,양호,제방겸도로,"아스팔트, 콘크리트(종정부일부), 비포장",,"옹벽, 돌망태, 돌붙임",보통,"옹벽, 돌망태, 돌붙임",보통,"돌붙임, 옹벽",보통,사행부,복단면,모래+자갈
